tag,engine,bcast,kernel,gridmap,plan,M,N,K,P,Pr,Pc,c,b,threads,lookahead,rep,time_s,gflops,wire_gb,rank_gb,t_comm,t_comp,err
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.245167,70.074,0.000000,0.268435,0.067861,0.191144,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.168854,101.744,0.008389,0.006291,0.008266,0.155692,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.079170,108.500,0.000000,0.071303,0.020310,0.057324,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.067425,127.400,0.000000,0.012583,0.008198,0.058298,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.090077,95.362,0.000000,0.071303,0.022590,0.073456,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.066560,129.055,0.000000,0.012583,0.005542,0.059337,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.128967,133.211,0.000000,0.067109,0.016133,0.115857,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.141827,121.133,0.067109,0.067109,0.025356,0.120989,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.078465,109.475,0.000000,0.016777,0.007133,0.073193,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.074638,115.088,0.000000,0.016777,0.006017,0.069378,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.253734,67.708,0.000000,0.268435,0.069891,0.185742,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.163777,104.898,0.008389,0.006291,0.005136,0.150110,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.085583,100.370,0.000000,0.071303,0.023337,0.064894,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.066057,130.039,0.000000,0.012583,0.007779,0.057688,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.086201,99.650,0.000000,0.071303,0.019376,0.066288,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.072354,118.720,0.000000,0.012583,0.006732,0.064436,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.136609,125.759,0.000000,0.067109,0.016896,0.121373,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.139994,122.719,0.067109,0.067109,0.016378,0.122980,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.073411,117.012,0.000000,0.016777,0.004662,0.067848,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.079724,107.745,0.000000,0.016777,0.007718,0.073961,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.263254,65.260,0.000000,0.268435,0.081820,0.197289,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.185540,92.594,0.008389,0.006291,0.023210,0.170787,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.080980,106.075,0.000000,0.071303,0.018766,0.059482,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.081342,105.603,0.000000,0.012583,0.011060,0.073373,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.085362,100.629,0.000000,0.071303,0.017401,0.066125,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.070113,122.516,0.000000,0.012583,0.004066,0.062675,-1.000e+00
fixed_square,summa25d,blocking,packed,linear,0,2048,2048,2048,4,2,2,1,256,1,0,0,0.133856,128.346,0.000000,0.067109,0.014087,0.119461,-1.000e+00
plan_square,summa25d,blocking,packed,linear,1,2048,2048,2048,4,1,2,2,1024,1,0,0,0.145686,117.924,0.067109,0.067109,0.019773,0.125593,-1.000e+00
fixed_tall_skinny,summa25d,blocking,packed,linear,0,4096,4096,256,4,2,2,1,256,1,0,0,0.083409,102.985,0.000000,0.016777,0.011350,0.075698,-1.000e+00
plan_tall_skinny,summa25d,blocking,packed,linear,1,4096,4096,256,4,2,2,1,256,1,0,0,0.088013,97.598,0.000000,0.016777,0.013054,0.082725,-1.000e+00
fixed_short_fat,summa25d,blocking,packed,linear,0,512,512,32768,4,2,2,1,256,1,0,0,0.241473,71.146,0.000000,0.268435,0.064973,0.181014,-1.000e+00
plan_short_fat,summa25d,blocking,packed,linear,1,512,512,32768,4,1,1,4,32,1,0,0,0.165543,103.779,0.008389,0.006291,0.008642,0.150897,-1.000e+00
fixed_tall_A,summa25d,blocking,packed,linear,0,8192,512,1024,4,2,2,1,256,1,0,0,0.078502,109.423,0.000000,0.071303,0.018246,0.057254,-1.000e+00
plan_tall_A,summa25d,blocking,packed,linear,1,8192,512,1024,4,4,1,1,1024,1,0,0,0.083935,102.341,0.000000,0.012583,0.016706,0.075441,-1.000e+00
fixed_wide_B,summa25d,blocking,packed,linear,0,512,8192,1024,4,2,2,1,256,1,0,0,0.085671,100.266,0.000000,0.071303,0.018783,0.066356,-1.000e+00
plan_wide_B,summa25d,blocking,packed,linear,1,512,8192,1024,4,1,4,1,1024,1,0,0,0.070876,121.196,0.000000,0.012583,0.008705,0.063256,-1.000e+00
